============================================================
  롯데리조트 잔여객실 현황
  수집일시: 2026-06-11 00:21
  수집건수: 1657건
============================================================

■ 롯데리조트 부여
  2026.06.11(목) H 훼미리(F) | 5실
  2026.08.24(월) C프레지덴셜(T) | 2실
  2026.08.25(화) 디럭스 한실 트윈 | 1실
  2026.08.25(화) H 훼미리(T) | 1실
  2026.08.25(화) M 스위트(D) | 1실
  2026.08.25(화) C 훼미리(D) | 3실
  2026.08.25(화) C 훼미리(T) | 1실
  2026.08.25(화) C프레지덴셜(T) | 1실
  2026.08.26(수) 디럭스 트리플 | 1실
  2026.08.26(수) 디럭스 한실 트윈 | 1실
  2026.08.26(수) H 훼미리(T) | 2실
  2026.08.26(수) C 훼미리(D) | 2실
  2026.08.26(수) C 훼미리(T) | 5실
  2026.08.26(수) C 스위트(D) | 1실
  2026.08.26(수) C프레지덴셜(T) | 1실
  2026.08.27(목) H 디럭스(D) | 5실
  2026.08.27(목) H 디럭스(F) | 6실
  2026.08.27(목) 디럭스 트리플 | 1실
  2026.08.27(목) H 스위트(T) | 3실
  2026.08.27(목) H 스위트(M) | 1실
  2026.08.27(목) C 훼미리(T) | 1실
  2026.08.27(목) C 스위트(D) | 3실
  2026.08.27(목) C 스위트(T) | 1실
  2026.08.27(목) C프레지덴셜(T) | 1실
  2026.08.28(금) H 디럭스(D) | 1실
  2026.08.28(금) H 디럭스(F) | 1실
  2026.08.28(금) H 훼미리(T) | 3실
  2026.08.28(금) H 스위트(T) | 2실
  2026.08.28(금) H 스위트(M) | 4실
  2026.08.28(금) C 훼미리(D) | 2실
  2026.08.28(금) C 훼미리(T) | 2실
  2026.08.28(금) C 스위트(D) | 3실
  2026.08.28(금) C프레지덴셜(T) | 2실
  2026.08.29(토) H 디럭스(F) | 1실
  2026.08.29(토) 디럭스 트리플 | 1실
  2026.08.29(토) 디럭스 한실 트윈 | 1실
  2026.08.29(토) H 훼미리(F) | 2실
  2026.08.29(토) H 훼미리(T) | 7실
  2026.08.29(토) M 스위트(D) | 2실
  2026.08.29(토) H 스위트(D) | 2실
  2026.08.29(토) H 스위트(T) | 4실
  2026.08.29(토) H 스위트(M) | 9실
  2026.08.29(토) C 훼미리(D) | 6실
  2026.08.29(토) C 스위트(T) | 2실
  2026.08.30(일) H 디럭스(T) | 1실
  2026.08.30(일) H 훼미리(T) | 1실
  2026.08.30(일) H 스위트(T) | 1실
  2026.08.30(일) H 스위트(M) | 2실
  2026.08.30(일) H 프레지덴셜(F) | 1실
  2026.08.30(일) C 훼미리(T) | 2실
  2026.08.30(일) C 스위트(D) | 1실
  2026.08.30(일) C 스위트(T) | 3실
  2026.08.31(월) M 스위트(D) | 1실
  2026.08.31(월) C 스위트(T) | 1실

■ 롯데리조트 속초
  2026.06.11(목) Deluxe Family Twin | 15실
  2026.06.11(목) Grand Deluxe Family | 12실
  2026.06.11(목) Junior Family Suite | 14실
  2026.06.11(목) Superior Suite With Tempur | 1실
  2026.06.11(목) Family 23 | 10실
  2026.06.11(목) Suite 33D | 42실
  2026.06.11(목) Suite 33T | 7실
  2026.06.11(목) Luxury 45A | 3실
  2026.06.11(목) Luxury 45B | 3실
  2026.06.12(금) Grand Deluxe Family | 20실
  2026.06.12(금) Junior Family Suite | 15실
  2026.06.12(금) Superior Suite | 2실
  2026.06.12(금) Superior Suite With Tempur | 1실
  2026.06.13(토) Deluxe 18F | 2실
  2026.06.14(일) Deluxe Family Twin | 12실
  2026.06.14(일) Grand Deluxe Family | 16실
  2026.06.14(일) Superior Suite With Tempur | 1실
  2026.06.14(일) Family 23 | 17실
  2026.06.14(일) Suite 33D | 47실
  2026.06.15(월) Deluxe Double | 20실
  2026.06.15(월) Grand Deluxe Family | 13실
  2026.06.15(월) Junior Family Suite | 15실
  2026.06.15(월) Superior Suite | 3실
  2026.06.15(월) Deluxe 18H | 1실
  2026.06.15(월) Suite 33D | 46실
  2026.06.15(월) Suite 33T | 7실
  2026.06.16(화) Deluxe Family Twin | 13실
  2026.06.16(화) Grand Deluxe Family | 13실
  2026.06.16(화) Junior Family Suite | 6실
  2026.06.16(화) Superior Suite | 3실
  2026.06.16(화) Family 23 | 17실
  2026.06.16(화) Suite 33D | 32실
  2026.06.16(화) Suite 33T | 7실
  2026.06.17(수) Deluxe Double | 20실
  2026.06.17(수) Deluxe Family Twin | 16실
  2026.06.17(수) Grand Deluxe Family | 15실
  2026.06.17(수) Junior Family Suite | 14실
  2026.06.17(수) Superior Suite | 3실
  2026.06.17(수) Superior Suite With Tempur | 1실
  2026.06.17(수) Suite 33D | 32실
  2026.06.17(수) Suite 33T | 5실
  2026.06.17(수) Luxury 45A | 2실
  2026.06.18(목) Grand Deluxe Family | 20실
  2026.06.18(목) Junior Family Suite | 16실
  2026.06.18(목) Suite 33D | 37실
  2026.06.19(금) Junior Family Suite | 18실
  2026.06.19(금) Suite 33D | 39실
  2026.06.19(금) Luxury 45A | 3실
  2026.06.19(금) Luxury 45B | 3실
  2026.06.20(토) Deluxe Double | 17실
  2026.06.20(토) Deluxe Family Twin | 18실
  2026.06.20(토) Grand Deluxe Family | 21실
  2026.06.21(일) Deluxe Family Twin | 17실
  2026.06.21(일) Grand Deluxe Family | 18실
  2026.06.21(일) Family 23 | 12실
  2026.06.21(일) Luxury 45A | 2실
  2026.06.22(월) Deluxe Double | 19실
  2026.06.22(월) Deluxe Family Twin | 16실
  2026.06.22(월) Grand Deluxe Family | 14실
  2026.06.22(월) Junior Family Suite | 10실
  2026.06.22(월) Superior Suite | 1실
  2026.06.22(월) Superior Suite With Tempur | 2실
  2026.06.22(월) Deluxe 18F | 9실
  2026.06.22(월) Family 23 | 13실
  2026.06.22(월) LOTTY&LORRY 23 | 1실
  2026.06.23(화) Deluxe Double | 24실
  2026.06.23(화) Deluxe Family Twin | 13실
  2026.06.23(화) Grand Deluxe Family | 9실
  2026.06.23(화) Junior Family Suite | 5실
  2026.06.23(화) Superior Suite | 2실
  2026.06.23(화) Deluxe 18F | 8실
  2026.06.23(화) Family 23 | 13실
  2026.06.23(화) LOTTY&LORRY 23 | 2실
  2026.06.23(화) Suite 33D | 32실
  2026.06.23(화) Suite 33T | 3실
  2026.06.24(수) Deluxe Family Twin | 15실
  2026.06.24(수) Grand Deluxe Family | 9실
  2026.06.24(수) Junior Family Suite | 7실
  2026.06.24(수) Superior Suite | 1실
  2026.06.24(수) Superior Suite With Tempur | 1실
  2026.06.24(수) Deluxe 18F | 6실
  2026.06.24(수) Family 23 | 10실
  2026.06.24(수) LOTTY&LORRY 23 | 2실
  2026.06.24(수) Suite 33D | 32실
  2026.06.24(수) Suite 33T | 3실
  2026.06.24(수) Luxury 45A | 1실
  2026.06.25(목) Junior Family Suite | 11실
  2026.06.25(목) Superior Suite | 3실
  2026.06.25(목) LOTTY&LORRY 23 | 2실
  2026.06.25(목) Suite 33D | 30실
  2026.06.26(금) Deluxe Double | 21실
  2026.06.26(금) Deluxe Family Twin | 16실
  2026.06.26(금) Grand Deluxe Family | 18실
  2026.06.27(토) Deluxe Family Twin | 23실
  2026.06.27(토) Grand Deluxe Family | 26실
  2026.06.27(토) Superior Suite With Tempur | 1실
  2026.06.27(토) Family 23 | 26실
  2026.06.27(토) Suite 33D | 50실
  2026.06.28(일) Deluxe Double | 23실
  2026.06.28(일) Deluxe Family Twin | 24실
  2026.06.28(일) Junior Family Suite | 20실
  2026.06.29(월) Deluxe Family Twin | 9실
  2026.06.29(월) Grand Deluxe Family | 18실
  2026.06.29(월) Junior Family Suite | 12실
  2026.06.29(월) Superior Suite With Tempur | 2실
  2026.06.29(월) Family 23 | 18실
  2026.06.29(월) LOTTY&LORRY 33 | 3실
  2026.06.30(화) Deluxe Double | 6실
  2026.06.30(화) Grand Deluxe Family | 4실
  2026.06.30(화) Junior Family Suite | 5실
  2026.06.30(화) Superior Suite | 1실
  2026.06.30(화) Deluxe 18F | 3실
  2026.06.30(화) Family 23 | 15실
  2026.06.30(화) Suite 33D | 17실
  2026.07. 1(수) Deluxe Double | 3실
  2026.07. 1(수) Grand Deluxe Family | 1실
  2026.07. 1(수) Junior Family Suite | 2실
  2026.07. 1(수) Family 23 | 10실
  2026.07. 1(수) Suite 33D | 17실
  2026.07. 1(수) Suite 33T | 4실
  2026.07. 2(목) Deluxe Double | 4실
  2026.07. 2(목) Deluxe Family Twin | 7실
  2026.07. 2(목) Grand Deluxe Family | 1실
  2026.07. 2(목) Junior Family Suite | 4실
  2026.07. 2(목) Superior Suite | 2실
  2026.07. 2(목) Deluxe 18F | 4실
  2026.07. 2(목) Family 23 | 11실
  2026.07. 2(목) Suite 33D | 22실
  2026.07. 2(목) Suite 33T | 3실
  2026.07. 3(금) Deluxe Double | 10실
  2026.07. 3(금) Deluxe Family Twin | 13실
  2026.07. 3(금) Grand Deluxe Family | 9실
  2026.07. 3(금) Junior Family Suite | 13실
  2026.07. 4(토) Deluxe Double | 15실
  2026.07. 4(토) Deluxe Family Twin | 26실
  2026.07. 4(토) Grand Deluxe Family | 22실
  2026.07. 5(일) Deluxe Double | 4실
  2026.07. 5(일) Deluxe Family Twin | 3실
  2026.07. 5(일) Grand Deluxe Family | 9실
  2026.07. 5(일) Junior Family Suite | 10실
  2026.07. 5(일) Family 23 | 20실
  2026.07. 5(일) Suite 33D | 42실
  2026.07. 6(월) Deluxe Double | 5실
  2026.07. 6(월) Deluxe Family Twin | 2실
  2026.07. 6(월) Grand Deluxe Family | 3실
  2026.07. 6(월) Junior Family Suite | 7실
  2026.07. 6(월) Superior Suite | 3실
  2026.07. 6(월) Deluxe 18F | 6실
  2026.07. 6(월) Family 23 | 10실
  2026.07. 6(월) Suite 33D | 30실
  2026.07. 6(월) Suite 33T | 6실
  2026.07. 7(화) Deluxe Double | 3실
  2026.07. 7(화) Deluxe Family Twin | 2실
  2026.07. 7(화) Grand Deluxe Family | 4실
  2026.07. 7(화) Junior Family Suite | 4실
  2026.07. 7(화) Superior Suite | 1실
  2026.07. 7(화) Superior Suite With Tempur | 1실
  2026.07. 7(화) Deluxe 18F | 6실
  2026.07. 7(화) Family 23 | 5실
  2026.07. 7(화) LOTTY&LORRY 33 | 3실
  2026.07. 7(화) Suite 33D | 15실
  2026.07. 7(화) Luxury 45B | 6실
  2026.07. 8(수) Deluxe Double | 8실
  2026.07. 8(수) Deluxe Family Twin | 2실
  2026.07. 8(수) Grand Deluxe Family | 4실
  2026.07. 8(수) Junior Family Suite | 3실
  2026.07. 8(수) Superior Suite With Tempur | 1실
  2026.07. 8(수) Deluxe 18F | 5실
  2026.07. 8(수) Family 23 | 3실
  2026.07. 8(수) LOTTY&LORRY 33 | 3실
  2026.07. 8(수) Suite 33D | 15실
  2026.07. 8(수) Suite 33T | 3실
  2026.07. 9(목) Deluxe Double | 8실
  2026.07. 9(목) Deluxe Family Twin | 4실
  2026.07. 9(목) Grand Deluxe Family | 9실
  2026.07. 9(목) Junior Family Suite | 6실
  2026.07. 9(목) Superior Suite | 1실
  2026.07. 9(목) Deluxe 18F | 7실
  2026.07. 9(목) Deluxe 18H | 1실
  2026.07. 9(목) Suite 33D | 21실
  2026.07. 9(목) Suite 33T | 3실
  2026.07. 9(목) Luxury 45B | 4실
  2026.07.10(금) Deluxe Double | 9실
  2026.07.10(금) Deluxe Family Twin | 9실
  2026.07.10(금) Grand Deluxe Family | 8실
  2026.07.10(금) Junior Family Suite | 14실
  2026.07.10(금) Deluxe 18H | 1실
  2026.07.11(토) Deluxe Double | 16실
  2026.07.11(토) Deluxe Family Twin | 17실
  2026.07.12(일) Deluxe Double | 8실
  2026.07.12(일) Deluxe Family Twin | 8실
  2026.07.12(일) Grand Deluxe Family | 6실
  2026.07.12(일) Deluxe 18F | 7실
  2026.07.13(월) Deluxe Double | 7실
  2026.07.13(월) Deluxe Family Twin | 8실
  2026.07.13(월) Grand Deluxe Family | 4실
  2026.07.13(월) Junior Family Suite | 8실
  2026.07.13(월) Superior Suite | 2실
  2026.07.13(월) Deluxe 18F | 8실
  2026.07.13(월) Suite 33D | 36실
  2026.07.13(월) Suite 33T | 5실
  2026.07.14(화) Deluxe Double | 5실
  2026.07.14(화) Deluxe Family Twin | 6실
  2026.07.14(화) Grand Deluxe Family | 2실
  2026.07.14(화) Junior Family Suite | 8실
  2026.07.14(화) Deluxe 18F | 6실
  2026.07.14(화) Deluxe 18H | 1실
  2026.07.14(화) Family 23 | 10실
  2026.07.15(수) Grand Deluxe Family | 6실
  2026.07.15(수) Junior Family Suite | 5실
  2026.07.15(수) Superior Suite | 2실
  2026.07.15(수) Deluxe 18F | 4실
  2026.07.15(수) Deluxe 18H | 1실
  2026.07.16(목) Deluxe Double | 15실
  2026.07.16(목) Deluxe Family Twin | 11실
  2026.07.16(목) Grand Deluxe Family | 12실
  2026.07.18(토) Deluxe Double | 28실
  2026.07.19(일) Deluxe Double | 5실
  2026.07.19(일) Deluxe Family Twin | 16실
  2026.07.19(일) Grand Deluxe Family | 9실
  2026.07.19(일) Junior Family Suite | 16실
  2026.07.20(월) Deluxe Double | 9실
  2026.07.20(월) Deluxe Family Twin | 14실
  2026.07.20(월) Grand Deluxe Family | 16실
  2026.07.20(월) Family 23 | 10실
  2026.07.21(화) Deluxe Double | 6실
  2026.07.21(화) Deluxe Family Twin | 11실
  2026.07.21(화) Grand Deluxe Family | 14실
  2026.07.21(화) Family 23 | 12실
  2026.07.21(화) Suite 33D | 28실
  2026.07.22(수) Deluxe Double | 12실
  2026.07.22(수) Deluxe Family Twin | 19실
  2026.07.22(수) LOTTY&LORRY 23 | 2실
  2026.07.23(목) Deluxe Double | 18실
  2026.07.24(금) Deluxe Double | 9실
  2026.07.24(금) Deluxe Family Twin | 15실
  2026.07.24(금) Grand Deluxe Family | 10실
  2026.07.24(금) Junior Family Suite | 16실
  2026.07.24(금) Luxury 45A | 4실
  2026.07.25(토) Deluxe Double | 15실
  2026.07.25(토) Deluxe Family Twin | 19실
  2026.07.25(토) Grand Deluxe Family | 19실
  2026.07.26(일) Deluxe Double | 5실
  2026.07.26(일) Deluxe Family Twin | 20실
  2026.07.26(일) Grand Deluxe Family | 22실
  2026.07.27(월) Deluxe Double | 5실
  2026.07.27(월) Deluxe Family Twin | 22실
  2026.07.27(월) Grand Deluxe Family | 20실
  2026.07.28(화) Deluxe Double | 2실
  2026.07.28(화) Deluxe Family Twin | 13실
  2026.07.28(화) Grand Deluxe Family | 17실
  2026.07.28(화) Junior Family Suite | 18실
  2026.07.29(수) Deluxe Double | 5실
  2026.07.29(수) Deluxe Family Twin | 13실
  2026.07.29(수) Grand Deluxe Family | 16실
  2026.07.30(목) Deluxe Double | 7실
  2026.07.30(목) Deluxe Family Twin | 17실
  2026.07.30(목) Grand Deluxe Family | 23실
  2026.07.30(목) Suite 33T | 8실
  2026.07.31(금) Deluxe Double | 15실
  2026.07.31(금) Junior Family Suite | 18실
  2026.07.31(금) LOTTY&LORRY 23 | 4실
  2026.07.31(금) Luxury 45A | 2실
  2026.08. 1(토) Deluxe Double | 19실
  2026.08. 1(토) Deluxe Family Twin | 25실
  2026.08. 1(토) Deluxe 18F | 9실
  2026.08. 2(일) Deluxe Double | 11실
  2026.08. 2(일) Deluxe 18F | 5실
  2026.08. 2(일) LOTTY&LORRY 33 | 4실
  2026.08. 3(월) Deluxe Double | 9실
  2026.08. 3(월) Deluxe Family Twin | 22실
  2026.08. 3(월) Grand Deluxe Family | 20실
  2026.08. 3(월) Junior Family Suite | 17실
  2026.08. 3(월) LOTTY&LORRY 33 | 4실
  2026.08. 4(화) Deluxe Double | 9실
  2026.08. 4(화) Deluxe Family Twin | 18실
  2026.08. 4(화) Grand Deluxe Family | 16실
  2026.08. 4(화) Superior Suite | 2실
  2026.08. 5(수) Deluxe Double | 6실
  2026.08. 5(수) Deluxe Family Twin | 10실
  2026.08. 5(수) Grand Deluxe Family | 7실
  2026.08. 5(수) Junior Family Suite | 13실
  2026.08. 5(수) Superior Suite | 2실
  2026.08. 5(수) Deluxe 18F | 8실
  2026.08. 6(목) Deluxe Double | 5실
  2026.08. 6(목) Deluxe Family Twin | 12실
  2026.08. 6(목) Grand Deluxe Family | 6실
  2026.08. 6(목) Superior Suite | 3실
  2026.08. 7(금) Deluxe Double | 7실
  2026.08. 7(금) Deluxe Family Twin | 15실
  2026.08. 7(금) Grand Deluxe Family | 15실
  2026.08. 7(금) Superior Suite With Tempur | 1실
  2026.08. 7(금) Deluxe 18H | 1실
  2026.08. 8(토) Deluxe Double | 8실
  2026.08. 8(토) Deluxe Family Twin | 15실
  2026.08. 8(토) Grand Deluxe Family | 18실
  2026.08. 9(일) Deluxe Double | 1실
  2026.08. 9(일) Deluxe Family Twin | 7실
  2026.08. 9(일) Grand Deluxe Family | 7실
  2026.08. 9(일) Junior Family Suite | 15실
  2026.08. 9(일) Family 23 | 15실
  2026.08. 9(일) LOTTY&LORRY 23 | 4실
  2026.08.10(월) Deluxe Double | 2실
  2026.08.10(월) Deluxe Family Twin | 8실
  2026.08.10(월) Grand Deluxe Family | 4실
  2026.08.10(월) Superior Suite With Tempur | 1실
  2026.08.10(월) Family 23 | 16실
  2026.08.10(월) Suite 33D | 29실
  2026.08.11(화) Deluxe Double | 2실
  2026.08.11(화) Deluxe Family Twin | 7실
  2026.08.11(화) Grand Deluxe Family | 4실
  2026.08.11(화) Junior Family Suite | 15실
  2026.08.11(화) Superior Suite | 2실
  2026.08.11(화) Superior Suite With Tempur | 1실
  2026.08.11(화) Deluxe 18H | 1실
  2026.08.11(화) Family 23 | 15실
  2026.08.11(화) Suite 33D | 26실
  2026.08.12(수) Deluxe Family Twin | 6실
  2026.08.12(수) Grand Deluxe Family | 4실
  2026.08.12(수) Junior Family Suite | 11실
  2026.08.12(수) Superior Suite With Tempur | 1실
  2026.08.12(수) Deluxe 18F | 8실
  2026.08.12(수) Deluxe 18H | 1실
  2026.08.12(수) Luxury 45A | 3실
  2026.08.13(목) Deluxe Double | 2실
  2026.08.13(목) Deluxe Family Twin | 6실
  2026.08.13(목) Grand Deluxe Family | 6실
  2026.08.13(목) Junior Family Suite | 14실
  2026.08.13(목) Superior Suite | 2실
  2026.08.13(목) Superior Suite With Tempur | 1실
  2026.08.13(목) Deluxe 18F | 8실
  2026.08.13(목) Suite 33D | 30실
  2026.08.14(금) Deluxe Double | 13실
  2026.08.14(금) Deluxe Family Twin | 14실
  2026.08.14(금) Grand Deluxe Family | 16실
  2026.08.14(금) Junior Family Suite | 16실
  2026.08.14(금) Superior Suite | 3실
  2026.08.14(금) Deluxe 18F | 9실
  2026.08.14(금) Family 23 | 12실
  2026.08.15(토) Grand Deluxe Family | 24실
  2026.08.16(일) Deluxe Double | 11실
  2026.08.16(일) Deluxe Family Twin | 17실
  2026.08.16(일) LOTTY&LORRY 23 | 4실
  2026.08.17(월) Deluxe Double | 2실
  2026.08.17(월) Deluxe Family Twin | 5실
  2026.08.17(월) Grand Deluxe Family | 5실
  2026.08.17(월) Junior Family Suite | 9실
  2026.08.17(월) Superior Suite With Tempur | 1실
  2026.08.17(월) Deluxe 18F | 6실
  2026.08.17(월) Family 23 | 25실
  2026.08.17(월) Suite 33D | 47실
  2026.08.18(화) Deluxe Family Twin | 2실
  2026.08.18(화) Grand Deluxe Family | 1실
  2026.08.18(화) Junior Family Suite | 5실
  2026.08.18(화) Deluxe 18F | 3실
  2026.08.18(화) Family 23 | 23실
  2026.08.18(화) LOTTY&LORRY 23 | 2실
  2026.08.18(화) Suite 33D | 38실
  2026.08.18(화) Luxury 45A | 3실
  2026.08.19(수) Deluxe Double | 1실
  2026.08.19(수) Deluxe Family Twin | 2실
  2026.08.19(수) Grand Deluxe Family | 2실
  2026.08.19(수) Junior Family Suite | 1실
  2026.08.19(수) Deluxe 18F | 2실
  2026.08.19(수) Family 23 | 16실
  2026.08.19(수) LOTTY&LORRY 23 | 1실
  2026.08.19(수) Suite 33D | 34실
  2026.08.19(수) Suite 33T | 8실
  2026.08.19(수) Luxury 45A | 2실
  2026.08.20(목) Deluxe Double | 1실
  2026.08.20(목) Deluxe Family Twin | 2실
  2026.08.20(목) Grand Deluxe Family | 2실
  2026.08.20(목) Junior Family Suite | 3실
  2026.08.20(목) Deluxe 18F | 4실
  2026.08.20(목) Family 23 | 16실
  2026.08.20(목) LOTTY&LORRY 33 | 3실
  2026.08.20(목) Suite 33D | 29실
  2026.08.20(목) Suite 33T | 7실
  2026.08.20(목) Luxury 45A | 3실
  2026.08.21(금) Deluxe Double | 2실
  2026.08.21(금) Deluxe Family Twin | 3실
  2026.08.21(금) Grand Deluxe Family | 3실
  2026.08.21(금) Junior Family Suite | 8실
  2026.08.21(금) Superior Suite | 1실
  2026.08.22(토) Deluxe Double | 3실
  2026.08.22(토) Deluxe Family Twin | 3실
  2026.08.22(토) Grand Deluxe Family | 2실
  2026.08.22(토) Junior Family Suite | 16실
  2026.08.23(일) Deluxe Double | 2실
  2026.08.23(일) Deluxe Family Twin | 2실
  2026.08.23(일) Grand Deluxe Family | 1실
  2026.08.23(일) Junior Family Suite | 4실
  2026.08.23(일) Superior Suite | 3실
  2026.08.23(일) Superior Suite With Tempur | 1실
  2026.08.23(일) Deluxe 18F | 1실
  2026.08.23(일) Deluxe 18H | 1실
  2026.08.23(일) Family 23 | 16실
  2026.08.23(일) LOTTY&LORRY 23 | 1실
  2026.08.23(일) LOTTY&LORRY 33 | 1실
  2026.08.23(일) Suite 33D | 21실
  2026.08.23(일) Suite 33T | 3실
  2026.08.23(일) Luxury 45B | 4실
  2026.08.24(월) Deluxe Double | 6실
  2026.08.24(월) Deluxe Family Twin | 2실
  2026.08.24(월) Junior Family Suite | 3실
  2026.08.24(월) Superior Suite | 3실
  2026.08.24(월) Superior Suite With Tempur | 1실
  2026.08.24(월) Deluxe 18F | 1실
  2026.08.24(월) Family 23 | 11실
  2026.08.24(월) LOTTY&LORRY 23 | 1실
  2026.08.24(월) LOTTY&LORRY 33 | 2실
  2026.08.24(월) Suite 33D | 23실
  2026.08.25(화) Deluxe Double | 1실
  2026.08.25(화) Deluxe Family Twin | 1실
  2026.08.25(화) Grand Deluxe Family | 1실
  2026.08.25(화) Junior Family Suite | 1실
  2026.08.25(화) Superior Suite | 1실
  2026.08.25(화) Superior Suite With Tempur | 1실
  2026.08.25(화) Deluxe 18F | 1실
  2026.08.25(화) Family 23 | 4실
  2026.08.25(화) LOTTY&LORRY 33 | 2실
  2026.08.25(화) Suite 33D | 11실
  2026.08.25(화) Suite 33T | 2실
  2026.08.25(화) Luxury 45B | 2실
  2026.08.26(수) Deluxe Double | 3실
  2026.08.26(수) Deluxe Family Twin | 1실
  2026.08.26(수) Grand Deluxe Family | 3실
  2026.08.26(수) Junior Family Suite | 2실
  2026.08.26(수) Superior Suite | 2실
  2026.08.26(수) Superior Suite With Tempur | 1실
  2026.08.26(수) Deluxe 18F | 2실
  2026.08.26(수) Family 23 | 2실
  2026.08.26(수) LOTTY&LORRY 23 | 2실
  2026.08.26(수) LOTTY&LORRY 33 | 3실
  2026.08.26(수) Suite 33D | 8실
  2026.08.26(수) Suite 33T | 1실
  2026.08.26(수) Luxury 45A | 2실
  2026.08.27(목) Deluxe Double | 2실
  2026.08.27(목) Deluxe Family Twin | 3실
  2026.08.27(목) Grand Deluxe Family | 4실
  2026.08.27(목) Junior Family Suite | 2실
  2026.08.27(목) Superior Suite | 1실
  2026.08.27(목) Deluxe 18F | 2실
  2026.08.27(목) Family 23 | 7실
  2026.08.27(목) LOTTY&LORRY 33 | 2실
  2026.08.27(목) Suite 33D | 11실
  2026.08.27(목) Suite 33T | 3실
  2026.08.27(목) Luxury 45A | 1실
  2026.08.27(목) Luxury 45B | 3실
  2026.08.28(금) Deluxe Double | 3실
  2026.08.28(금) Deluxe Family Twin | 2실
  2026.08.28(금) Grand Deluxe Family | 4실
  2026.08.28(금) Junior Family Suite | 6실
  2026.08.28(금) Superior Suite With Tempur | 1실
  2026.08.28(금) Deluxe 18F | 2실
  2026.08.28(금) Family 23 | 10실
  2026.08.28(금) Suite 33D | 18실
  2026.08.28(금) Luxury 45B | 3실
  2026.08.29(토) Deluxe Double | 2실
  2026.08.29(토) Deluxe Family Twin | 1실
  2026.08.29(토) Grand Deluxe Family | 1실
  2026.08.29(토) Junior Family Suite | 9실
  2026.08.29(토) Deluxe 18F | 4실
  2026.08.29(토) Deluxe 18H | 1실
  2026.08.29(토) Family 23 | 20실
  2026.08.30(일) Junior Family Suite | 3실
  2026.08.30(일) Superior Suite | 1실
  2026.08.30(일) Deluxe 18F | 2실
  2026.08.30(일) Family 23 | 11실
  2026.08.30(일) LOTTY&LORRY 23 | 1실
  2026.08.30(일) Suite 33D | 11실
  2026.08.30(일) Suite 33T | 3실
  2026.08.30(일) Luxury 45A | 1실
  2026.08.31(월) Junior Family Suite | 2실
  2026.08.31(월) Superior Suite With Tempur | 1실
  2026.08.31(월) Suite 33D | 3실
  2026.08.31(월) Suite 33T | 1실

■ 롯데호텔앤리조트 김해
  2026.06.11(목) 18 A- TYPE 트윈룸 | 7실
  2026.06.11(목) 31 A-TYPE   더블+온돌룸 | 2실
  2026.06.11(목) 31 A-TYPE 트윈+더블룸 | 1실
  2026.06.11(목) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.06.11(목) 31 C-TYPE 프리미엄 더블룸 | 2실
  2026.06.11(목) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.06.12(금) 18 A- TYPE 더블룸 | 6실
  2026.06.12(금) 18 A- TYPE 트윈룸 | 3실
  2026.06.12(금) 23 A-TYPE 더블+더블룸 | 7실
  2026.06.12(금) 23 C-TYPE 핸디캡룸 | 6실
  2026.06.12(금) 31 A-TYPE 트윈+온돌룸 | 3실
  2026.06.12(금) 31 A-TYPE 트윈+더블룸 | 5실
  2026.06.12(금) 31 B-TYPE 트윈+온돌룸 | 4실
  2026.06.12(금) 31 C-TYPE 프리미엄 더블룸 | 2실
  2026.06.13(토) 18 A- TYPE 트윈룸 | 2실
  2026.06.13(토) 23 C-TYPE 펫 더블+더블룸 | 1실
  2026.06.13(토) 23 A-TYPE 더블+더블룸 | 9실
  2026.06.13(토) 23 C-TYPE 핸디캡룸 | 6실
  2026.06.13(토) 31 A-TYPE 트윈+온돌룸 | 2실
  2026.06.13(토) 31 B-TYPE 더블+온돌룸 | 3실
  2026.06.13(토) 31 B-TYPE 트윈+온돌룸 | 8실
  2026.06.13(토) 31 C-TYPE 프리미엄 더블룸 | 3실
  2026.06.13(토) 31 C-TYPE 풀 더블+더블룸 | 1실
  2026.06.14(일) 18 A- TYPE 더블룸 | 6실
  2026.06.14(일) 18 A- TYPE 트윈룸 | 1실
  2026.06.14(일) 23 C-TYPE 펫 더블+더블룸 | 1실
  2026.06.14(일) 23 A-TYPE 더블+더블룸 | 6실
  2026.06.14(일) 31 A-TYPE   더블+온돌룸 | 1실
  2026.06.14(일) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.06.15(월) 18 A- TYPE 트윈룸 | 7실
  2026.06.15(월) 23 A-TYPE 더블+더블룸 | 4실
  2026.06.15(월) 23 C-TYPE 핸디캡룸 | 1실
  2026.06.15(월) 31 B-TYPE 더블+온돌룸 | 2실
  2026.06.15(월) 31 C-TYPE 프리미엄 더블룸 | 2실
  2026.06.15(월) 31 C-TYPE 말랑이 더블+온돌룸 | 2실
  2026.06.16(화) 18 A- TYPE 트윈룸 | 8실
  2026.06.16(화) 23 A-TYPE 더블+더블룸 | 2실
  2026.06.16(화) 31 A-TYPE   더블+온돌룸 | 1실
  2026.06.16(화) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.06.16(화) 31 A-TYPE 트윈+더블룸 | 1실
  2026.06.16(화) 31 B-TYPE 더블+온돌룸 | 2실
